タイトル,著者,リンク,画像URL,あらすじ
魔女の館の殺人 (ハーパーＢＯＯＫＳ＋),三日市 零,https://bookmeter.com/books/22569676,https://m.media-amazon.com/images/I/51Re1e+BoDL._SL500_.jpg,進藤理人は理学部に通う大学二年生。ルームメイトの柏木詩文とは、性格こそ正反対ながら「謎解き」という共通の趣味があり馬が合う。ある日二人は山奥の洋館で催される脱出ゲームに参加することに。だがその最中、何者かの焼死体が館内で見つかった。戦慄のなか、やがて次の犠牲者が……。館を出られる条件は唯ひとつ、九つの謎を解くこと――「殺人(マーダー)」×「謎解き(リドル)」の読者参加型ミステリー！
葉桜の季節に君を想うということ (文春文庫 う 20-1),歌野 晶午,https://bookmeter.com/books/580339,https://m.media-amazon.com/images/I/51vqUG-N+OL._SL500_.jpg,究極の驚愕、ミステリーの奇蹟がここにある素人探偵のもとに持ち込まれた霊感商法事件の意外な顛末、そして…。あなたは最後の一文まで、ただひたすら驚き続けることになる
横しぐれ (講談社文芸文庫 まA 2),丸谷 才一,https://bookmeter.com/books/528365,https://m.media-amazon.com/images/I/41b5v5DALKL._SL500_.jpg,あらすじ不明
国宝 (上) 青春篇 (朝日文庫),吉田 修一,https://bookmeter.com/books/18461645,https://m.media-amazon.com/images/I/51FyjfwiCGL._SL500_.jpg,1964年元旦、長崎は老舗料亭「花丸」――侠客たちの怒号と悲鳴が飛び交うなかで、この国の宝となる役者は生まれた。男の名は、立花喜久雄。任侠の一門に生まれながらも、この世ならざる美貌は人々を巻き込み、喜久雄の人生を思わぬ域にまで連れ出していく。舞台は長崎から大阪、そしてオリンピック後の東京へ。日本の成長と歩を合わせるように、技をみがき、道を究めようともがく男たち。血族との深い絆と軋み、スキャンダルと栄光、幾重もの信頼と裏切り。舞台、映画、テレビと芸能界の転換期を駆け抜け、数多の歓喜と絶望を享受しながら、その頂点に登りつめた先に、何が見えるのか? 朝日新聞連載時から大きな反響を呼んだ、著者渾身の大作。
銀河ホテルの居候 落葉松の森を歩いて (集英社文庫),ほしお さなえ,https://bookmeter.com/books/22744742,https://m.media-amazon.com/images/I/01MKUOLsA5L._SL500_.gif,あらすじ不明
タイタン (講談社タイガ ノ-B 04),野崎 まど,https://bookmeter.com/books/20506398,https://m.media-amazon.com/images/I/511fySRWjmL._SL500_.jpg,あらすじ不明
十角館の殺人 <新装改訂版> (講談社文庫 あ 52-14),綾辻 行人,https://bookmeter.com/books/580841,https://m.media-amazon.com/images/I/41VtHAw3hyL._SL500_.jpg,すべてはここから。清冽なる新本格の源流！大学ミステリ研究会の七人が訪れた十角形の奇妙な館の建つ孤島・角島。メンバーが一人、また一人、殺されていく。「十角館」の刊行から二十年。あの衝撃を再び！
ミステリなカフェ　午後３時の謎解きアンソロジー (双葉文庫),"大崎梢,加納朋子,坂井希久子,東川篤哉,望月麻衣",https://bookmeter.com/books/22616040,https://m.media-amazon.com/images/I/41ELlfdx+yL._SL500_.jpg,あらすじ不明
結婚の奴 (文春文庫 の 16-12),能町 みね子,https://bookmeter.com/books/22615209,https://m.media-amazon.com/images/I/41ArmUoMyFL._SL500_.jpg,あらすじ不明
国宝 (下) 花道篇 (朝日文庫),吉田 修一,https://bookmeter.com/books/18464814,https://m.media-amazon.com/images/I/510GKn5MwKL._SL500_.jpg,あらすじ不明
雪華邸美術館の魔女 (1) (千夜文庫),白川紺子,https://bookmeter.com/books/22732847,https://m.media-amazon.com/images/I/01MKUOLsA5L._SL500_.gif,あらすじ不明
世界でいちばん透きとおった物語 (新潮文庫 す 31-2),杉井　光,https://bookmeter.com/books/21059020,https://m.media-amazon.com/images/I/51n5Xd1EYpL._SL500_.jpg,絶対に予測不能な衝撃のラスト――あなたの見る世界は『透きとおる』。　大御所ミステリ作家の宮内彰吾が、癌の闘病を経て61歳で死去した。　女癖が悪かった宮内は、妻帯者でありながら多くの女性と交際しており、そのうちの一人とは子供までつくっていた。それが僕だ。
